title,total_price,price_per_sqm,district,area,layout,floor,year_built,decoration,orientation,has_elevator,subway_distance,rooms,halls,baths,current_floor,total_floors,floor_ratio,house_age
房源62,474.4,23744.0,青羊区,199.8,3室2厅1卫,21/23,1992.0,毛坯,东,有,184.0,3.0,2.0,1.0,21.0,23.0,0.9130434782608695,32.0
房源63,92.1,9301.0,龙泉驿区,99.0,1室2厅1卫,27/9,2003.0,毛坯,东北,有,3579.0,1.0,2.0,1.0,27.0,9.0,3.0,21.0
房源64,262.6,16188.0,青羊区,162.2,1室1厅1卫,15/20,2007.0,精装,南,无,961.0,1.0,1.0,1.0,15.0,20.0,0.75,17.0
房源65,212.1,12402.0,温江区,171.0,3室1厅1卫,2/25,2007.0,毛坯,西,有,3985.0,3.0,1.0,1.0,2.0,25.0,0.08,17.0
房源66,206.0,11527.0,锦江区,178.7,1室2厅2卫,13/2,1992.0,精装,西北,无,412.0,1.0,2.0,2.0,13.0,2.0,6.5,32.0
房源67,475.1,23804.0,温江区,199.6,2室2厅1卫,19/26,1999.0,精装,南,有,1214.0,2.0,2.0,1.0,19.0,26.0,0.7307692307692307,25.0
房源68,135.0,15661.0,锦江区,86.2,4室2厅1卫,2/3,1990.0,精装,西南,有,252.0,4.0,2.0,1.0,2.0,3.0,0.6666666666666666,34.0
房源69,110.7,19733.0,双流区,56.1,1室1厅1卫,6/3,2016.0,精装,西南,有,303.0,1.0,1.0,1.0,6.0,3.0,2.0,8.0
房源70,198.4,17765.0,双流区,111.7,3室2厅1卫,10/24,2016.0,简装,西,无,717.0,3.0,2.0,1.0,10.0,24.0,0.4166666666666667,8.0
房源71,141.7,20385.0,青羊区,69.5,4室2厅1卫,27/6,2000.0,毛坯,东北,有,385.0,4.0,2.0,1.0,27.0,6.0,4.5,24.0
房源72,98.2,18384.0,高新区,53.4,2室2厅1卫,23/16,1994.0,精装,北,无,183.0,2.0,2.0,1.0,23.0,16.0,1.4375,30.0
房源73,120.6,11585.0,高新区,104.1,4室2厅2卫,17/19,1996.0,毛坯,西南,无,305.0,4.0,2.0,2.0,17.0,19.0,0.8947368421052632,28.0
房源74,385.2,22981.0,锦江区,167.6,3室1厅1卫,3/18,2008.0,精装,东,有,36.0,3.0,1.0,1.0,3.0,18.0,0.16666666666666666,16.0
房源75,209.5,15531.0,天府新区,134.9,4室1厅2卫,7/9,2018.0,简装,北,有,1219.0,4.0,1.0,2.0,7.0,9.0,0.7777777777777778,6.0
房源76,99.0,10217.0,龙泉驿区,96.9,1室2厅1卫,20/12,2004.0,精装,东南,有,678.0,1.0,2.0,1.0,20.0,12.0,1.6666666666666667,20.0
房源77,235.0,15859.0,青羊区,148.2,1室2厅1卫,5/3,2001.0,毛坯,西南,有,99.0,1.0,2.0,1.0,5.0,3.0,1.6666666666666667,23.0
房源78,216.3,25504.0,龙泉驿区,84.8,2室1厅1卫,11/25,2019.0,毛坯,东,有,188.0,2.0,1.0,1.0,11.0,25.0,0.44,5.0
房源79,116.2,22251.0,温江区,52.2,4室2厅2卫,4/5,2009.0,简装,东南,有,108.0,4.0,2.0,2.0,4.0,5.0,0.8,15.0
房源80,267.8,16257.0,高新区,164.7,1室2厅1卫,1/27,1992.0,毛坯,北,无,948.0,1.0,2.0,1.0,1.0,27.0,0.037037037037037035,32.0
房源81,233.4,16254.0,成华区,143.6,4室2厅2卫,28/29,1998.0,毛坯,西,无,99.0,4.0,2.0,2.0,28.0,29.0,0.9655172413793104,26.0
房源82,269.3,16392.0,温江区,164.3,4室2厅2卫,18/12,2015.0,精装,东南,无,1404.0,4.0,2.0,2.0,18.0,12.0,1.5,9.0
房源83,158.4,28384.0,温江区,55.8,3室2厅1卫,13/9,1991.0,毛坯,南,无,21.0,3.0,2.0,1.0,13.0,9.0,1.4444444444444444,33.0
房源84,349.6,19910.0,锦江区,175.6,2室2厅2卫,2/5,2012.0,精装,西,有,287.0,2.0,2.0,2.0,2.0,5.0,0.4,12.0
房源85,287.9,20150.0,金牛区,142.9,3室1厅2卫,13/16,2012.0,简装,西,有,2213.0,3.0,1.0,2.0,13.0,16.0,0.8125,12.0
房源86,311.4,23151.0,温江区,134.5,1室2厅2卫,16/24,2010.0,毛坯,北,无,1268.0,1.0,2.0,2.0,16.0,24.0,0.6666666666666666,14.0
房源87,275.8,19194.0,青羊区,143.7,1室1厅1卫,3/22,2005.0,精装,北,有,76.0,1.0,1.0,1.0,3.0,22.0,0.13636363636363635,19.0
房源88,300.2,16705.0,武侯区,179.7,1室2厅1卫,4/11,1998.0,毛坯,东,无,1721.0,1.0,2.0,1.0,4.0,11.0,0.36363636363636365,26.0
房源89,234.8,17018.0,武侯区,138.0,3室2厅1卫,23/26,2002.0,精装,东,有,679.0,3.0,2.0,1.0,23.0,26.0,0.8846153846153846,22.0
房源90,241.9,17642.0,青羊区,137.1,3室1厅1卫,14/29,2017.0,简装,南,有,1876.0,3.0,1.0,1.0,14.0,29.0,0.4827586206896552,7.0
房源91,353.8,17814.0,金牛区,198.6,4室2厅1卫,3/16,2016.0,精装,西,无,714.5,4.0,2.0,1.0,3.0,16.0,0.1875,8.0
房源92,353.8,21638.0,金牛区,163.5,3室2厅1卫,22/15,2006.0,毛坯,西北,无,1145.0,3.0,2.0,1.0,22.0,15.0,1.4666666666666666,18.0
房源93,212.4,18260.0,锦江区,116.3,3室1厅1卫,28/10,1990.0,精装,东北,有,5036.0,3.0,1.0,1.0,28.0,10.0,2.8,34.0
房源94,338.2,21663.0,高新区,156.1,1室1厅1卫,9/11,2007.0,毛坯,南,无,264.0,1.0,1.0,1.0,9.0,11.0,0.8181818181818182,17.0
房源95,190.7,17596.0,龙泉驿区,108.4,3室1厅2卫,16/10,1998.0,简装,南,有,978.0,3.0,1.0,2.0,16.0,10.0,1.6,26.0
房源96,155.1,18393.0,金牛区,84.3,2室2厅1卫,17/19,2002.0,精装,东北,有,617.0,2.0,2.0,1.0,17.0,19.0,0.8947368421052632,22.0
房源97,111.7,8009.0,成华区,139.5,3室2厅1卫,2/24,2004.0,毛坯,东北,无,714.5,3.0,2.0,1.0,2.0,24.0,0.08333333333333333,20.0
房源98,427.3,22582.0,锦江区,189.2,2室1厅2卫,23/2,1993.0,毛坯,东北,有,15.0,2.0,1.0,2.0,23.0,2.0,11.5,31.0
房源99,373.7,19732.0,双流区,189.4,4室2厅1卫,6/19,2022.0,毛坯,北,有,127.0,4.0,2.0,1.0,6.0,19.0,0.3157894736842105,2.0
房源100,232.9,22990.0,天府新区,101.3,2室1厅1卫,8/26,2013.0,精装,南,有,1047.0,2.0,1.0,1.0,8.0,26.0,0.3076923076923077,11.0
房源102,232.4,28442.0,锦江区,81.7,3室1厅2卫,26/14,2009.0,精装,东南,有,806.0,3.0,1.0,2.0,26.0,14.0,1.8571428571428572,15.0
房源103,344.8,17302.0,温江区,199.3,4室2厅1卫,25/16,2006.0,简装,东北,有,32.0,4.0,2.0,1.0,25.0,16.0,1.5625,18.0
房源104,464.2,23541.0,龙泉驿区,197.2,1室1厅1卫,1/21,2001.0,毛坯,东北,有,634.0,1.0,1.0,1.0,1.0,21.0,0.047619047619047616,23.0
房源105,188.7,12800.0,天府新区,147.4,4室1厅2卫,3/22,2007.0,毛坯,东,无,2585.0,4.0,1.0,2.0,3.0,22.0,0.13636363636363635,17.0
房源106,359.6,21064.0,双流区,170.7,1室2厅1卫,26/18,2019.0,简装,东,有,507.0,1.0,2.0,1.0,26.0,18.0,1.4444444444444444,5.0
房源107,200.3,12733.0,天府新区,157.3,4室1厅2卫,9/6,2009.0,简装,西,无,981.0,4.0,1.0,2.0,9.0,6.0,1.5,15.0
房源108,206.8,14881.0,成华区,139.0,1室2厅2卫,23/21,2014.0,精装,东,有,1513.0,1.0,2.0,2.0,23.0,21.0,1.0952380952380953,10.0
房源109,159.9,27570.0,成华区,58.0,1室2厅1卫,25/1,2001.0,精装,西南,有,1532.0,1.0,2.0,1.0,25.0,1.0,25.0,23.0
房源110,201.5,17047.0,成华区,118.2,1室1厅2卫,21/27,2010.0,精装,西,有,732.0,1.0,1.0,2.0,21.0,27.0,0.7777777777777778,14.0
房源111,288.6,19087.0,锦江区,151.2,2室1厅1卫,10/27,2014.0,精装,西北,有,1952.0,2.0,1.0,1.0,10.0,27.0,0.37037037037037035,10.0
房源112,338.8,22350.0,龙泉驿区,151.6,2室2厅2卫,6/23,2000.0,精装,东北,有,497.0,2.0,2.0,2.0,6.0,23.0,0.2608695652173913,24.0
房源113,217.1,20478.0,锦江区,106.0,3室1厅1卫,12/4,1998.0,精装,东南,有,2195.0,3.0,1.0,1.0,12.0,4.0,3.0,26.0
房源114,358.7,18752.0,武侯区,191.3,3室1厅2卫,28/13,2014.0,简装,东,有,714.5,3.0,1.0,2.0,28.0,13.0,2.1538461538461537,10.0
房源115,148.9,19825.0,温江区,75.1,3室2厅2卫,17/27,2021.0,简装,东南,有,329.0,3.0,2.0,2.0,17.0,27.0,0.6296296296296297,3.0
房源116,375.5,30017.0,温江区,125.1,1室2厅1卫,8/26,2003.0,简装,东,有,55.0,1.0,2.0,1.0,8.0,26.0,0.3076923076923077,21.0
房源117,272.1,17712.0,成华区,153.6,4室1厅1卫,20/3,1990.0,毛坯,东,有,1588.0,4.0,1.0,1.0,20.0,3.0,6.666666666666667,34.0
房源118,293.8,19005.0,武侯区,154.6,2室1厅2卫,12/7,2006.0,毛坯,东南,有,540.0,2.0,1.0,2.0,12.0,7.0,1.7142857142857142,18.0
房源119,342.5,23253.0,金牛区,147.3,1室1厅1卫,12/2,2014.0,精装,南,无,260.0,1.0,1.0,1.0,12.0,2.0,6.0,10.0
房源120,214.8,23528.0,金牛区,91.3,4室2厅1卫,24/14,1997.0,简装,南,有,264.0,4.0,2.0,1.0,24.0,14.0,1.7142857142857142,27.0
房源121,175.7,23935.0,成华区,73.4,2室1厅2卫,22/23,1994.0,毛坯,南,有,2317.0,2.0,1.0,2.0,22.0,23.0,0.9565217391304348,30.0
房源122,308.2,21194.0,双流区,145.4,2室1厅1卫,5/9,1994.0,毛坯,西南,有,1795.0,2.0,1.0,1.0,5.0,9.0,0.5555555555555556,30.0
房源123,171.9,12285.0,锦江区,139.9,3室1厅1卫,21/11,2008.0,简装,南,无,806.0,3.0,1.0,1.0,21.0,11.0,1.9090909090909092,16.0
房源124,201.2,26167.0,成华区,76.9,4室2厅1卫,5/3,2012.0,毛坯,东,有,957.0,4.0,2.0,1.0,5.0,3.0,1.6666666666666667,12.0
房源125,191.1,12268.0,高新区,155.8,1室1厅2卫,27/17,1998.0,毛坯,东北,无,643.0,1.0,1.0,2.0,27.0,17.0,1.588235294117647,26.0
房源126,230.8,19513.0,天府新区,118.3,3室1厅2卫,2/24,2019.0,简装,北,有,497.0,3.0,1.0,2.0,2.0,24.0,0.08333333333333333,5.0
房源127,213.7,14229.0,温江区,150.2,4室2厅2卫,1/7,2005.0,毛坯,东南,无,2471.0,4.0,2.0,2.0,1.0,7.0,0.14285714285714285,19.0
房源128,310.4,17679.0,金牛区,175.6,3室2厅2卫,14/5,2022.0,简装,东北,无,134.0,3.0,2.0,2.0,14.0,5.0,2.8,2.0
房源129,148.3,19644.0,青羊区,75.5,1室1厅1卫,19/28,1991.0,毛坯,北,无,542.0,1.0,1.0,1.0,19.0,28.0,0.6785714285714286,33.0
房源130,103.7,19607.0,金牛区,52.9,2室1厅2卫,28/11,2003.0,简装,东北,有,422.0,2.0,1.0,2.0,28.0,11.0,2.5454545454545454,21.0
房源131,335.6,20110.0,温江区,166.9,2室2厅1卫,23/25,1990.0,毛坯,西南,有,689.0,2.0,2.0,1.0,23.0,25.0,0.92,34.0
房源132,368.9,26069.0,天府新区,141.5,4室1厅1卫,2/8,2015.0,毛坯,北,有,612.0,4.0,1.0,1.0,2.0,8.0,0.25,9.0
房源133,314.0,20268.0,温江区,154.9,3室2厅2卫,9/27,2014.0,简装,西北,有,732.0,3.0,2.0,2.0,9.0,27.0,0.3333333333333333,10.0
房源134,294.8,16779.0,青羊区,175.7,2室1厅2卫,3/2,2005.0,毛坯,西,无,151.0,2.0,1.0,2.0,3.0,2.0,1.5,19.0
房源135,388.9,22820.0,成华区,170.4,2室2厅2卫,7/5,2004.0,简装,南,有,720.0,2.0,2.0,2.0,7.0,5.0,1.4,20.0
房源136,464.8,23947.0,武侯区,194.1,4室1厅1卫,21/26,2015.0,简装,西北,有,278.0,4.0,1.0,1.0,21.0,26.0,0.8076923076923077,9.0
房源137,154.7,11862.0,青羊区,130.4,3室1厅2卫,5/20,2005.0,毛坯,西南,有,204.0,3.0,1.0,2.0,5.0,20.0,0.25,19.0
房源138,258.8,20987.0,温江区,123.3,3室2厅1卫,13/21,2003.0,精装,东北,有,67.0,3.0,2.0,1.0,13.0,21.0,0.6190476190476191,21.0
房源139,237.2,21506.0,温江区,110.3,1室1厅2卫,29/20,2018.0,毛坯,东,有,1438.0,1.0,1.0,2.0,29.0,20.0,1.45,6.0
房源140,120.7,16512.0,高新区,73.1,4室1厅2卫,29/6,2013.0,精装,南,无,714.5,4.0,1.0,2.0,29.0,6.0,4.833333333333333,11.0
房源141,338.1,24879.0,高新区,135.9,3室1厅1卫,20/18,2004.0,精装,西北,有,985.0,3.0,1.0,1.0,20.0,18.0,1.1111111111111112,20.0
房源142,158.0,17250.0,龙泉驿区,91.6,4室1厅1卫,25/2,2008.0,毛坯,南,有,1300.0,4.0,1.0,1.0,25.0,2.0,12.5,16.0
房源143,350.6,18628.0,高新区,188.2,1室2厅1卫,25/26,1997.0,精装,北,有,1137.0,1.0,2.0,1.0,25.0,26.0,0.9615384615384616,27.0
房源144,235.6,17135.0,锦江区,137.5,2室1厅2卫,6/9,1991.0,简装,西,有,636.0,2.0,1.0,2.0,6.0,9.0,0.6666666666666666,33.0
房源145,251.1,18078.0,武侯区,138.9,1室1厅2卫,25/3,2016.0,简装,南,有,491.0,1.0,1.0,2.0,25.0,3.0,8.333333333333334,8.0
房源146,129.2,12519.0,天府新区,103.2,2室1厅2卫,1/1,1999.0,精装,东北,有,472.0,2.0,1.0,2.0,1.0,1.0,1.0,25.0
房源147,62.4,10800.0,青羊区,57.8,1室1厅1卫,19/5,2012.0,简装,东北,无,1022.0,1.0,1.0,1.0,19.0,5.0,3.8,12.0
房源148,142.3,25973.0,温江区,54.8,4室1厅2卫,13/19,1997.0,毛坯,东南,无,683.0,4.0,1.0,2.0,13.0,19.0,0.6842105263157895,27.0
房源149,156.2,13765.0,龙泉驿区,113.5,3室2厅2卫,12/16,2017.0,简装,东南,无,1891.0,3.0,2.0,2.0,12.0,16.0,0.75,7.0
房源150,81.8,13043.0,龙泉驿区,62.7,1室2厅1卫,25/25,2012.0,精装,南,有,2077.0,1.0,2.0,1.0,25.0,25.0,1.0,12.0
房源151,102.0,7233.0,天府新区,141.0,3室1厅1卫,19/3,1993.0,毛坯,北,无,187.0,3.0,1.0,1.0,19.0,3.0,6.333333333333333,31.0
房源152,269.6,14805.0,武侯区,182.1,1室2厅1卫,12/5,2003.0,简装,北,无,146.0,1.0,2.0,1.0,12.0,5.0,2.4,21.0
房源153,207.7,11385.0,青羊区,182.4,4室2厅1卫,2/22,2018.0,毛坯,东,无,995.0,4.0,2.0,1.0,2.0,22.0,0.09090909090909091,6.0
房源154,390.3,26210.0,金牛区,148.9,4室1厅2卫,7/13,1990.0,精装,西南,有,358.0,4.0,1.0,2.0,7.0,13.0,0.5384615384615384,34.0
房源155,188.3,23049.0,高新区,81.7,4室2厅1卫,25/15,1993.0,简装,西南,无,19.0,4.0,2.0,1.0,25.0,15.0,1.6666666666666667,31.0
房源156,261.2,14559.0,成华区,179.4,4室1厅2卫,22/3,2021.0,毛坯,西北,无,2195.0,4.0,1.0,2.0,22.0,3.0,7.333333333333333,3.0
房源157,535.2,29262.0,龙泉驿区,182.9,2室2厅2卫,28/21,2022.0,毛坯,西南,无,257.0,2.0,2.0,2.0,28.0,21.0,1.3333333333333333,2.0
房源158,182.1,22909.0,高新区,79.5,3室1厅2卫,20/5,2015.0,简装,西,有,2649.0,3.0,1.0,2.0,20.0,5.0,4.0,9.0
房源159,263.0,16376.0,高新区,160.6,4室1厅1卫,24/8,2006.0,毛坯,北,无,1264.0,4.0,1.0,1.0,24.0,8.0,3.0,18.0
房源160,51.2,5503.0,锦江区,93.0,3室1厅2卫,22/1,2012.0,毛坯,东,无,1438.0,3.0,1.0,2.0,22.0,1.0,22.0,12.0
房源161,501.9,29455.0,武侯区,170.4,2室1厅1卫,8/24,2021.0,精装,东南,有,225.0,2.0,1.0,1.0,8.0,24.0,0.3333333333333333,3.0
房源162,220.6,11052.0,成华区,199.6,3室1厅1卫,18/20,2004.0,精装,东北,有,267.0,3.0,1.0,1.0,18.0,20.0,0.9,20.0
房源163,53.3,9773.0,金牛区,54.5,3室2厅2卫,28/16,2002.0,精装,西南,无,737.0,3.0,2.0,2.0,28.0,16.0,1.75,22.0
房源164,426.7,23113.0,温江区,184.6,4室1厅1卫,18/20,1991.0,精装,东南,有,714.5,4.0,1.0,1.0,18.0,20.0,0.9,33.0
房源165,433.1,30199.0,锦江区,143.4,1室2厅1卫,12/13,2008.0,精装,东南,有,364.0,1.0,2.0,1.0,12.0,13.0,0.9230769230769231,16.0
房源166,488.5,24921.0,高新区,196.0,1室2厅1卫,13/10,2013.0,精装,南,有,388.0,1.0,2.0,1.0,13.0,10.0,1.3,11.0
