title,total_price,price_per_sqm,district,area,layout,floor,year_built,decoration,orientation,has_elevator,subway_distance,rooms,halls,baths,current_floor,total_floors,floor_ratio,house_age,hospital_distance,school_distance,is_near_hospital,is_near_school,is_near_subway
房源26,179.5,18190.0,天府新区,98.7,4室1厅1卫,12/8,2003.0,毛坯,东北,有,2975,4.0,1.0,1.0,12.0,8.0,1.5,21.0,3505,3730,False,False,False
房源27,168.1,18600.0,成华区,90.4,3室1厅2卫,5/10,2005.0,精装,东南,有,2752,3.0,1.0,2.0,5.0,10.0,0.5,19.0,2399,3572,False,False,False
房源28,165.6,21068.0,天府新区,78.6,3室2厅1卫,28/21,2022.0,简装,东南,有,1596,3.0,2.0,1.0,28.0,21.0,1.3333333333333333,2.0,1767,2081,True,False,False
房源29,198.7,12886.0,锦江区,154.2,3室2厅1卫,5/17,2019.0,精装,东,有,1540,3.0,2.0,1.0,5.0,17.0,0.2941176470588235,5.0,2028,1601,False,False,False
房源30,138.4,16713.0,锦江区,82.8,4室2厅1卫,26/5,2001.0,精装,西南,有,404,4.0,2.0,1.0,26.0,5.0,5.2,23.0,3702,3606,False,False,True
房源31,134.5,9657.0,温江区,139.3,1室1厅1卫,22/15,2004.0,毛坯,南,有,835,1.0,1.0,1.0,22.0,15.0,1.4666666666666666,20.0,4056,2841,False,False,True
房源32,179.4,19996.0,成华区,89.7,3室1厅2卫,13/28,2007.0,毛坯,东南,有,2438,3.0,1.0,2.0,13.0,28.0,0.4642857142857143,17.0,4390,2351,False,False,False
房源33,317.1,21236.0,成华区,149.3,2室1厅2卫,1/11,2017.0,毛坯,东北,无,2063,2.0,1.0,2.0,1.0,11.0,0.0909090909090909,7.0,1146,3013,True,False,False
房源34,268.4,15584.0,金牛区,172.2,4室1厅1卫,23/1,2012.0,精装,西南,无,2249,4.0,1.0,1.0,23.0,1.0,23.0,12.0,3388,741,False,True,False
房源35,431.3,25870.0,成华区,166.7,4室1厅2卫,11/18,2003.0,简装,北,有,2109,4.0,1.0,2.0,11.0,18.0,0.6111111111111112,21.0,2935,2376,False,False,False
房源36,194.8,11871.0,金牛区,164.1,3室2厅2卫,18/21,2019.0,毛坯,西,有,2989,3.0,2.0,2.0,18.0,21.0,0.8571428571428571,5.0,1100,3480,True,False,False
房源37,83.5,10678.0,温江区,78.2,4室2厅1卫,26/16,2022.0,毛坯,西北,有,1061,4.0,2.0,1.0,26.0,16.0,1.625,2.0,2863,2957,False,False,False
房源38,121.0,19122.0,温江区,63.3,1室2厅2卫,13/7,2004.0,精装,东北,无,1126,1.0,2.0,2.0,13.0,7.0,1.8571428571428568,20.0,2561,1104,False,True,False
房源39,359.7,23235.0,高新区,154.8,1室1厅2卫,1/26,1996.0,简装,北,无,2232,1.0,1.0,2.0,1.0,26.0,0.0384615384615384,28.0,741,374,True,True,False
房源40,278.2,26420.0,锦江区,105.3,2室2厅2卫,16/1,2004.0,精装,东北,无,2475,2.0,2.0,2.0,16.0,1.0,16.0,20.0,2541,3185,False,False,False
房源41,180.5,15706.0,天府新区,114.9,2室1厅2卫,17/6,2000.0,毛坯,西,无,2963,2.0,1.0,2.0,17.0,6.0,2.833333333333333,24.0,3324,3517,False,False,False
房源42,128.0,23393.0,天府新区,54.7,1室1厅1卫,2/17,2018.0,精装,东,有,1573,1.0,1.0,1.0,2.0,17.0,0.1176470588235294,6.0,3112,2475,False,False,False
房源43,158.3,17807.0,双流区,88.9,2室1厅1卫,6/14,2006.0,毛坯,东北,有,2601,2.0,1.0,1.0,6.0,14.0,0.4285714285714285,18.0,1863,2389,True,False,False
房源44,94.4,17137.0,双流区,55.1,3室1厅2卫,18/6,2014.0,简装,东南,有,2047,3.0,1.0,2.0,18.0,6.0,3.0,10.0,1978,1679,True,False,False
房源45,407.8,22418.0,武侯区,181.9,2室1厅1卫,10/24,2013.0,精装,南,有,2776,2.0,1.0,1.0,10.0,24.0,0.4166666666666667,11.0,3056,340,False,True,False
房源46,183.9,21262.0,龙泉驿区,86.5,2室2厅2卫,18/27,2008.0,毛坯,东南,无,1277,2.0,2.0,2.0,18.0,27.0,0.6666666666666666,16.0,1275,3281,True,False,False
房源47,135.2,10118.0,高新区,133.6,3室2厅1卫,9/8,1991.0,毛坯,西,有,764,3.0,2.0,1.0,9.0,8.0,1.125,33.0,4514,2381,False,False,True
房源48,141.6,25383.0,武侯区,55.8,1室2厅1卫,28/10,2011.0,毛坯,东北,有,111,1.0,2.0,1.0,28.0,10.0,2.8,13.0,534,3388,True,False,True
房源49,373.5,24900.0,武侯区,150.0,4室1厅2卫,17/23,2009.0,毛坯,南,有,1256,4.0,1.0,2.0,17.0,23.0,0.7391304347826086,15.0,3652,2000,False,False,False
房源50,146.5,14872.0,青羊区,98.5,3室1厅2卫,29/26,2022.0,精装,东南,无,403,3.0,1.0,2.0,29.0,26.0,1.1153846153846154,2.0,2455,3524,False,False,True
房源51,369.0,19979.0,青羊区,184.7,4室2厅2卫,6/14,1997.0,毛坯,南,有,1863,4.0,2.0,2.0,6.0,14.0,0.4285714285714285,27.0,2085,3345,False,False,False
房源52,375.0,20470.0,武侯区,183.2,1室2厅2卫,22/22,2014.0,精装,西北,有,2930,1.0,2.0,2.0,22.0,22.0,1.0,10.0,4443,1701,False,False,False
房源53,190.7,19303.0,成华区,98.8,1室2厅2卫,6/26,1998.0,毛坯,西,有,142,1.0,2.0,2.0,6.0,26.0,0.2307692307692307,26.0,3573,887,False,True,True
房源54,282.2,15248.0,龙泉驿区,185.1,3室2厅2卫,7/12,2012.0,精装,东,有,1043,3.0,2.0,2.0,7.0,12.0,0.5833333333333334,12.0,1521,1922,True,False,False
房源55,292.0,14642.0,高新区,199.4,2室2厅2卫,3/14,1994.0,精装,东,有,2490,2.0,2.0,2.0,3.0,14.0,0.2142857142857142,30.0,3961,641,False,True,False
房源56,310.6,17872.0,武侯区,173.8,4室1厅2卫,22/19,2014.0,毛坯,东北,无,1449,4.0,1.0,2.0,22.0,19.0,1.1578947368421053,10.0,3113,2374,False,False,False
房源57,421.7,23864.0,天府新区,176.7,1室1厅1卫,23/16,1997.0,毛坯,东南,有,2645,1.0,1.0,1.0,23.0,16.0,1.4375,27.0,4343,3658,False,False,False
房源58,181.1,20718.0,龙泉驿区,87.4,1室2厅2卫,7/8,2005.0,毛坯,北,无,2511,1.0,2.0,2.0,7.0,8.0,0.875,19.0,2000,945,False,True,False
房源59,220.4,16147.0,青羊区,136.5,2室1厅2卫,18/25,2006.0,毛坯,西,有,990,2.0,1.0,2.0,18.0,25.0,0.72,18.0,661,1030,True,True,True
房源60,131.4,21858.0,天府新区,60.1,2室2厅1卫,13/21,1990.0,简装,东南,有,2574,2.0,2.0,1.0,13.0,21.0,0.6190476190476191,34.0,4797,467,False,True,False
房源62,474.4,23744.0,青羊区,199.8,3室2厅1卫,21/23,1992.0,毛坯,东,有,1104,3.0,2.0,1.0,21.0,23.0,0.9130434782608696,32.0,2481,909,False,True,False
房源63,92.1,9301.0,龙泉驿区,99.0,1室2厅1卫,27/9,2003.0,毛坯,东北,有,120,1.0,2.0,1.0,27.0,9.0,3.0,21.0,1495,2615,True,False,True
房源64,262.6,16188.0,青羊区,162.2,1室1厅1卫,15/20,2007.0,精装,南,无,506,1.0,1.0,1.0,15.0,20.0,0.75,17.0,3842,2072,False,False,True
房源65,212.1,12402.0,温江区,171.0,3室1厅1卫,2/25,2007.0,毛坯,西,有,2766,3.0,1.0,1.0,2.0,25.0,0.08,17.0,4298,2340,False,False,False
房源66,206.0,11527.0,锦江区,178.7,1室2厅2卫,13/2,1992.0,精装,西北,无,1114,1.0,2.0,2.0,13.0,2.0,6.5,32.0,1775,3168,True,False,False
房源67,475.1,23804.0,温江区,199.6,2室2厅1卫,19/26,1999.0,精装,南,有,435,2.0,2.0,1.0,19.0,26.0,0.7307692307692307,25.0,1516,754,True,True,True
房源68,135.0,15661.0,锦江区,86.2,4室2厅1卫,2/3,1990.0,精装,西南,有,1938,4.0,2.0,1.0,2.0,3.0,0.6666666666666666,34.0,837,3253,True,False,False
房源69,110.7,19733.0,双流区,56.1,1室1厅1卫,6/3,2016.0,精装,西南,有,1247,1.0,1.0,1.0,6.0,3.0,2.0,8.0,1378,2008,True,False,False
房源70,198.4,17765.0,双流区,111.7,3室2厅1卫,10/24,2016.0,简装,西,无,2546,3.0,2.0,1.0,10.0,24.0,0.4166666666666667,8.0,1576,3772,True,False,False
房源71,141.7,20385.0,青羊区,69.5,4室2厅1卫,27/6,2000.0,毛坯,东北,有,2940,4.0,2.0,1.0,27.0,6.0,4.5,24.0,4493,3269,False,False,False
房源72,98.2,18384.0,高新区,53.4,2室2厅1卫,23/16,1994.0,精装,北,无,1927,2.0,2.0,1.0,23.0,16.0,1.4375,30.0,879,3328,True,False,False
房源73,120.6,11585.0,高新区,104.1,4室2厅2卫,17/19,1996.0,毛坯,西南,无,814,4.0,2.0,2.0,17.0,19.0,0.8947368421052632,28.0,992,3847,True,False,True
房源74,385.2,22981.0,锦江区,167.6,3室1厅1卫,3/18,2008.0,精装,东,有,150,3.0,1.0,1.0,3.0,18.0,0.1666666666666666,16.0,2562,1001,False,True,True
房源75,209.5,15531.0,天府新区,134.9,4室1厅2卫,7/9,2018.0,简装,北,有,423,4.0,1.0,2.0,7.0,9.0,0.7777777777777778,6.0,4384,2981,False,False,True
房源76,99.0,10217.0,龙泉驿区,96.9,1室2厅1卫,20/12,2004.0,精装,东南,有,888,1.0,2.0,1.0,20.0,12.0,1.6666666666666667,20.0,564,3929,True,False,True
房源77,235.0,15859.0,青羊区,148.2,1室2厅1卫,5/3,2001.0,毛坯,西南,有,240,1.0,2.0,1.0,5.0,3.0,1.6666666666666667,23.0,3068,1899,False,False,True
房源78,216.3,25504.0,龙泉驿区,84.8,2室1厅1卫,11/25,2019.0,毛坯,东,有,569,2.0,1.0,1.0,11.0,25.0,0.44,5.0,2527,429,False,True,True
房源79,116.2,22251.0,温江区,52.2,4室2厅2卫,4/5,2009.0,简装,东南,有,886,4.0,2.0,2.0,4.0,5.0,0.8,15.0,3195,3367,False,False,True
房源80,267.8,16257.0,高新区,164.7,1室2厅1卫,1/27,1992.0,毛坯,北,无,1925,1.0,2.0,1.0,1.0,27.0,0.037037037037037,32.0,1995,2145,True,False,False
房源81,233.4,16254.0,成华区,143.6,4室2厅2卫,28/29,1998.0,毛坯,西,无,1457,4.0,2.0,2.0,28.0,29.0,0.9655172413793104,26.0,891,1686,True,False,False
房源82,269.3,16392.0,温江区,164.3,4室2厅2卫,18/12,2015.0,精装,东南,无,2016,4.0,2.0,2.0,18.0,12.0,1.5,9.0,4974,3166,False,False,False
房源83,158.4,28384.0,温江区,55.8,3室2厅1卫,13/9,1991.0,毛坯,南,无,1063,3.0,2.0,1.0,13.0,9.0,1.4444444444444444,33.0,4061,992,False,True,False
房源84,349.6,19910.0,锦江区,175.6,2室2厅2卫,2/5,2012.0,精装,西,有,472,2.0,2.0,2.0,2.0,5.0,0.4,12.0,2778,3663,False,False,True
房源85,287.9,20150.0,金牛区,142.9,3室1厅2卫,13/16,2012.0,简装,西,有,2641,3.0,1.0,2.0,13.0,16.0,0.8125,12.0,3599,1694,False,False,False
房源86,311.4,23151.0,温江区,134.5,1室2厅2卫,16/24,2010.0,毛坯,北,无,1792,1.0,2.0,2.0,16.0,24.0,0.6666666666666666,14.0,700,1093,True,True,False
房源87,275.8,19194.0,青羊区,143.7,1室1厅1卫,3/22,2005.0,精装,北,有,2898,1.0,1.0,1.0,3.0,22.0,0.1363636363636363,19.0,3604,328,False,True,False
房源88,300.2,16705.0,武侯区,179.7,1室2厅1卫,4/11,1998.0,毛坯,东,无,1279,1.0,2.0,1.0,4.0,11.0,0.3636363636363636,26.0,2954,448,False,True,False
房源89,234.8,17018.0,武侯区,138.0,3室2厅1卫,23/26,2002.0,精装,东,有,2438,3.0,2.0,1.0,23.0,26.0,0.8846153846153846,22.0,4145,1619,False,False,False
房源90,241.9,17642.0,青羊区,137.1,3室1厅1卫,14/29,2017.0,简装,南,有,1771,3.0,1.0,1.0,14.0,29.0,0.4827586206896552,7.0,1304,2358,True,False,False
房源91,353.8,17814.0,金牛区,198.6,4室2厅1卫,3/16,2016.0,精装,西,无,205,4.0,2.0,1.0,3.0,16.0,0.1875,8.0,3231,3883,False,False,True
房源92,353.8,21638.0,金牛区,163.5,3室2厅1卫,22/15,2006.0,毛坯,西北,无,1543,3.0,2.0,1.0,22.0,15.0,1.4666666666666666,18.0,3273,3023,False,False,False
房源93,212.4,18260.0,锦江区,116.3,3室1厅1卫,28/10,1990.0,精装,东北,有,2817,3.0,1.0,1.0,28.0,10.0,2.8,34.0,2070,1436,False,True,False
房源94,338.2,21663.0,高新区,156.1,1室1厅1卫,9/11,2007.0,毛坯,南,无,1781,1.0,1.0,1.0,9.0,11.0,0.8181818181818182,17.0,3190,486,False,True,False
房源95,190.7,17596.0,龙泉驿区,108.4,3室1厅2卫,16/10,1998.0,简装,南,有,101,3.0,1.0,2.0,16.0,10.0,1.6,26.0,4340,3154,False,False,True
房源96,155.1,18393.0,金牛区,84.3,2室2厅1卫,17/19,2002.0,精装,东北,有,2736,2.0,2.0,1.0,17.0,19.0,0.8947368421052632,22.0,1528,3091,True,False,False
房源97,111.7,8009.0,成华区,139.5,3室2厅1卫,2/24,2004.0,毛坯,东北,无,2791,3.0,2.0,1.0,2.0,24.0,0.0833333333333333,20.0,1002,1550,True,False,False
房源98,427.3,22582.0,锦江区,189.2,2室1厅2卫,23/2,1993.0,毛坯,东北,有,2237,2.0,1.0,2.0,23.0,2.0,11.5,31.0,4993,1633,False,False,False
房源99,373.7,19732.0,双流区,189.4,4室2厅1卫,6/19,2022.0,毛坯,北,有,449,4.0,2.0,1.0,6.0,19.0,0.3157894736842105,2.0,1370,397,True,True,True
房源100,232.9,22990.0,天府新区,101.3,2室1厅1卫,8/26,2013.0,精装,南,有,1386,2.0,1.0,1.0,8.0,26.0,0.3076923076923077,11.0,4988,354,False,True,False
房源102,232.4,28442.0,锦江区,81.7,3室1厅2卫,26/14,2009.0,精装,东南,有,1162,3.0,1.0,2.0,26.0,14.0,1.8571428571428568,15.0,706,2970,True,False,False
房源103,344.8,17302.0,温江区,199.3,4室2厅1卫,25/16,2006.0,简装,东北,有,2306,4.0,2.0,1.0,25.0,16.0,1.5625,18.0,1984,3011,True,False,False
房源104,464.2,23541.0,龙泉驿区,197.2,1室1厅1卫,1/21,2001.0,毛坯,东北,有,2459,1.0,1.0,1.0,1.0,21.0,0.0476190476190476,23.0,1363,1057,True,True,False
房源105,188.7,12800.0,天府新区,147.4,4室1厅2卫,3/22,2007.0,毛坯,东,无,544,4.0,1.0,2.0,3.0,22.0,0.1363636363636363,17.0,3290,705,False,True,True
房源106,359.6,21064.0,双流区,170.7,1室2厅1卫,26/18,2019.0,简装,东,有,2445,1.0,2.0,1.0,26.0,18.0,1.4444444444444444,5.0,1063,2416,True,False,False
房源107,200.3,12733.0,天府新区,157.3,4室1厅2卫,9/6,2009.0,简装,西,无,1051,4.0,1.0,2.0,9.0,6.0,1.5,15.0,4691,3683,False,False,False
房源108,206.8,14881.0,成华区,139.0,1室2厅2卫,23/21,2014.0,精装,东,有,135,1.0,2.0,2.0,23.0,21.0,1.0952380952380951,10.0,2257,1612,False,False,True
房源109,159.9,27570.0,成华区,58.0,1室2厅1卫,25/1,2001.0,精装,西南,有,1207,1.0,2.0,1.0,25.0,1.0,25.0,23.0,2178,2085,False,False,False
房源110,201.5,17047.0,成华区,118.2,1室1厅2卫,21/27,2010.0,精装,西,有,1575,1.0,1.0,2.0,21.0,27.0,0.7777777777777778,14.0,3742,3919,False,False,False
房源111,288.6,19087.0,锦江区,151.2,2室1厅1卫,10/27,2014.0,精装,西北,有,1898,2.0,1.0,1.0,10.0,27.0,0.3703703703703703,10.0,1559,1050,True,True,False
房源112,338.8,22350.0,龙泉驿区,151.6,2室2厅2卫,6/23,2000.0,精装,东北,有,1945,2.0,2.0,2.0,6.0,23.0,0.2608695652173913,24.0,2222,3519,False,False,False
房源113,217.1,20478.0,锦江区,106.0,3室1厅1卫,12/4,1998.0,精装,东南,有,1508,3.0,1.0,1.0,12.0,4.0,3.0,26.0,3814,3838,False,False,False
房源114,358.7,18752.0,武侯区,191.3,3室1厅2卫,28/13,2014.0,简装,东,有,1295,3.0,1.0,2.0,28.0,13.0,2.1538461538461537,10.0,3657,2062,False,False,False
房源115,148.9,19825.0,温江区,75.1,3室2厅2卫,17/27,2021.0,简装,东南,有,1499,3.0,2.0,2.0,17.0,27.0,0.6296296296296297,3.0,3125,3615,False,False,False
房源116,375.5,30017.0,温江区,125.1,1室2厅1卫,8/26,2003.0,简装,东,有,1808,1.0,2.0,1.0,8.0,26.0,0.3076923076923077,21.0,3229,3862,False,False,False
房源117,272.1,17712.0,成华区,153.6,4室1厅1卫,20/3,1990.0,毛坯,东,有,1485,4.0,1.0,1.0,20.0,3.0,6.666666666666667,34.0,2097,3305,False,False,False
房源118,293.8,19005.0,武侯区,154.6,2室1厅2卫,12/7,2006.0,毛坯,东南,有,2706,2.0,1.0,2.0,12.0,7.0,1.7142857142857142,18.0,3560,3878,False,False,False
房源119,342.5,23253.0,金牛区,147.3,1室1厅1卫,12/2,2014.0,精装,南,无,2288,1.0,1.0,1.0,12.0,2.0,6.0,10.0,3193,664,False,True,False
房源120,214.8,23528.0,金牛区,91.3,4室2厅1卫,24/14,1997.0,简装,南,有,1400,4.0,2.0,1.0,24.0,14.0,1.7142857142857142,27.0,4127,2326,False,False,False
房源121,175.7,23935.0,成华区,73.4,2室1厅2卫,22/23,1994.0,毛坯,南,有,2873,2.0,1.0,2.0,22.0,23.0,0.9565217391304348,30.0,1863,781,True,True,False
房源122,308.2,21194.0,双流区,145.4,2室1厅1卫,5/9,1994.0,毛坯,西南,有,1343,2.0,1.0,1.0,5.0,9.0,0.5555555555555556,30.0,2481,2548,False,False,False
房源123,171.9,12285.0,锦江区,139.9,3室1厅1卫,21/11,2008.0,简装,南,无,620,3.0,1.0,1.0,21.0,11.0,1.9090909090909087,16.0,2163,453,False,True,True
房源124,201.2,26167.0,成华区,76.9,4室2厅1卫,5/3,2012.0,毛坯,东,有,1906,4.0,2.0,1.0,5.0,3.0,1.6666666666666667,12.0,2029,3821,False,False,False
房源125,191.1,12268.0,高新区,155.8,1室1厅2卫,27/17,1998.0,毛坯,东北,无,109,1.0,1.0,2.0,27.0,17.0,1.588235294117647,26.0,2538,1824,False,False,True
房源126,230.8,19513.0,天府新区,118.3,3室1厅2卫,2/24,2019.0,简装,北,有,1083,3.0,1.0,2.0,2.0,24.0,0.0833333333333333,5.0,3802,2420,False,False,False
房源127,213.7,14229.0,温江区,150.2,4室2厅2卫,1/7,2005.0,毛坯,东南,无,2525,4.0,2.0,2.0,1.0,7.0,0.1428571428571428,19.0,2737,3060,False,False,False
房源128,310.4,17679.0,金牛区,175.6,3室2厅2卫,14/5,2022.0,简装,东北,无,1756,3.0,2.0,2.0,14.0,5.0,2.8,2.0,1806,2643,True,False,False
房源129,148.3,19644.0,青羊区,75.5,1室1厅1卫,19/28,1991.0,毛坯,北,无,1760,1.0,1.0,1.0,19.0,28.0,0.6785714285714286,33.0,4529,1340,False,True,False
房源130,103.7,19607.0,金牛区,52.9,2室1厅2卫,28/11,2003.0,简装,东北,有,2829,2.0,1.0,2.0,28.0,11.0,2.5454545454545454,21.0,3175,1964,False,False,False
房源131,335.6,20110.0,温江区,166.9,2室2厅1卫,23/25,1990.0,毛坯,西南,有,2731,2.0,2.0,1.0,23.0,25.0,0.92,34.0,1782,1540,True,False,False
房源132,368.9,26069.0,天府新区,141.5,4室1厅1卫,2/8,2015.0,毛坯,北,有,2299,4.0,1.0,1.0,2.0,8.0,0.25,9.0,1209,360,True,True,False
房源133,314.0,20268.0,温江区,154.9,3室2厅2卫,9/27,2014.0,简装,西北,有,819,3.0,2.0,2.0,9.0,27.0,0.3333333333333333,10.0,4913,1238,False,True,True
房源134,294.8,16779.0,青羊区,175.7,2室1厅2卫,3/2,2005.0,毛坯,西,无,1172,2.0,1.0,2.0,3.0,2.0,1.5,19.0,4248,1939,False,False,False
房源135,388.9,22820.0,成华区,170.4,2室2厅2卫,7/5,2004.0,简装,南,有,958,2.0,2.0,2.0,7.0,5.0,1.4,20.0,1163,2389,True,False,True
房源136,464.8,23947.0,武侯区,194.1,4室1厅1卫,21/26,2015.0,简装,西北,有,1416,4.0,1.0,1.0,21.0,26.0,0.8076923076923077,9.0,2498,324,False,True,False
房源137,154.7,11862.0,青羊区,130.4,3室1厅2卫,5/20,2005.0,毛坯,西南,有,1703,3.0,1.0,2.0,5.0,20.0,0.25,19.0,3945,1362,False,True,False
房源138,258.8,20987.0,温江区,123.3,3室2厅1卫,13/21,2003.0,精装,东北,有,149,3.0,2.0,1.0,13.0,21.0,0.6190476190476191,21.0,4243,430,False,True,True
房源139,237.2,21506.0,温江区,110.3,1室1厅2卫,29/20,2018.0,毛坯,东,有,2811,1.0,1.0,2.0,29.0,20.0,1.45,6.0,1995,3869,True,False,False
房源140,120.7,16512.0,高新区,73.1,4室1厅2卫,29/6,2013.0,精装,南,无,2678,4.0,1.0,2.0,29.0,6.0,4.833333333333333,11.0,3804,1552,False,False,False
房源141,338.1,24879.0,高新区,135.9,3室1厅1卫,20/18,2004.0,精装,西北,有,245,3.0,1.0,1.0,20.0,18.0,1.1111111111111112,20.0,4263,407,False,True,True
房源142,158.0,17250.0,龙泉驿区,91.6,4室1厅1卫,25/2,2008.0,毛坯,南,有,1014,4.0,1.0,1.0,25.0,2.0,12.5,16.0,2353,471,False,True,False
房源143,350.6,18628.0,高新区,188.2,1室2厅1卫,25/26,1997.0,精装,北,有,1562,1.0,2.0,1.0,25.0,26.0,0.9615384615384616,27.0,1791,1758,True,False,False
房源144,235.6,17135.0,锦江区,137.5,2室1厅2卫,6/9,1991.0,简装,西,有,2389,2.0,1.0,2.0,6.0,9.0,0.6666666666666666,33.0,4081,3849,False,False,False
房源145,251.1,18078.0,武侯区,138.9,1室1厅2卫,25/3,2016.0,简装,南,有,680,1.0,1.0,2.0,25.0,3.0,8.333333333333334,8.0,3957,401,False,True,True
房源146,129.2,12519.0,天府新区,103.2,2室1厅2卫,1/1,1999.0,精装,东北,有,2834,2.0,1.0,2.0,1.0,1.0,1.0,25.0,2136,3213,False,False,False
房源147,62.4,10800.0,青羊区,57.8,1室1厅1卫,19/5,2012.0,简装,东北,无,1684,1.0,1.0,1.0,19.0,5.0,3.8,12.0,4196,2871,False,False,False
